,method,dataset,bias_n,seed,bias_delta,params,spearman,pairwise_calls,pairwise_calls_internal,listwise_calls,inferred_pairs,pairwise_api_calls,effective_calls_api
0,pruned_elo,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2000, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 1900, 'prune_percent': 0.0}",0.9972270012270011,1000000,0,0,0,1000000,1000000
1,pruned_elo_bt,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2000, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 1900, 'prune_percent': 0.0}",0.9996288636288636,1000000,0,0,0,1000000,1000000
2,listwise_rounds,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 1000, 'k': 10, 'overlap': 0, 'boundary_passes': 0, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9990402390402391,4500000,4500000,100000,4500000,0,100000
3,listwise_rounds_bt,linear,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 1000, 'k': 10, 'overlap': 0, 'boundary_passes': 0, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9997585357585357,4500000,4500000,100000,4500000,0,100000
4,pruned_elo,bimodal,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2000, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 1900, 'prune_percent': 0.0}",0.9923758043758045,1000000,0,0,0,1000000,1000000
5,pruned_elo_bt,bimodal,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2000, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 1900, 'prune_percent': 0.0}",0.9989375189375189,1000000,0,0,0,1000000,1000000
6,listwise_rounds,bimodal,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 1000, 'k': 10, 'overlap': 0, 'boundary_passes': 0, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9976913656913657,4500000,4500000,100000,4500000,0,100000
7,listwise_rounds_bt,bimodal,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 1000, 'k': 10, 'overlap': 0, 'boundary_passes': 0, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9994418914418916,4500000,4500000,100000,4500000,0,100000
8,pruned_elo,normal,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2000, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 1900, 'prune_percent': 0.0}",0.9939932979932982,1000000,0,0,0,1000000,1000000
9,pruned_elo_bt,normal,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2000, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 1900, 'prune_percent': 0.0}",0.9991030951030953,1000000,0,0,0,1000000,1000000
10,listwise_rounds,normal,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 1000, 'k': 10, 'overlap': 0, 'boundary_passes': 0, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.9979730419730422,4500000,4500000,100000,4500000,0,100000
11,listwise_rounds_bt,normal,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 1000, 'k': 10, 'overlap': 0, 'boundary_passes': 0, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.999517383511592,4500000,4500000,100000,4500000,0,100000
12,pruned_elo,binary,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2000, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 1900, 'prune_percent': 0.0}",0.8659981235272683,1000000,0,0,0,1000000,1000000
13,pruned_elo_bt,binary,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 2000, 'match_strategy': 'similar', 'randomness_factor': 0.1, 'seed': 11, 'prune_start_round': 1900, 'prune_percent': 0.0}",0.8659981235272683,1000000,0,0,0,1000000,1000000
14,listwise_rounds,binary,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 1000, 'k': 10, 'overlap': 0, 'boundary_passes': 0, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.8659981235272683,4500000,4500000,100000,4500000,0,100000
15,listwise_rounds_bt,binary,0,111,200.0,"{'initial_elo': 1500, 'k_factor': 32, 'n_rounds': 1000, 'k': 10, 'overlap': 0, 'boundary_passes': 0, 'grouping_strategy': 'similar', 'randomness_factor': 0.1}",0.8659981235272683,4500000,4500000,100000,4500000,0,100000
